# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2711  1.47617E-02     0.02     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1563   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
  148         1.0000000000000018E+008         1.0115977647858430E-001         1.0115961807863975E-001        -2.0911435786723471E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5757285831330452E+000        -6.1625653058658658E+000        -4.3599763159249960E+000        -8.4887723419909136E+001        -8.6794663674745621E+001         3.4740096466128660E+000        -2.5829688502282462E+000        -7.1320643261014161E-001         4.8686429321686360E+000        -1.8273987744349360E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972980E-001         2.6847822568031153E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.8229271968060323E-012         7.1343172643147823E-001         6.6779505834295435E-005         2.7142863123434890E-001         4.3096992966459033E-018         1.7828915239659233E-010         0.0000000000000000E+000         2.6341003995943731E-003         3.1974651009220038E-005         7.7791559885673092E-004         6.4454981370103788E-003         5.6888016177784359E-007         1.3074642829863537E-003         3.2948690004440483E-005         6.2205324768514552E-004         6.8861500371935052E-004         3.3034796657246414E-004         7.2311924827929278E-005         3.5183558475501683E-006         1.6719536379086845E-003         6.5458846268367061E+000         2.0347420578891180E+000         1.1690896259311205E+000         0.0000000000000000E+000         3.4142683165087445E-001         1.0115961807863975E-001         7.1343172643144548E-001         2.7142863123434890E-001         2.6341003995943727E-003         7.7791559885673081E-004         6.4454981370103779E-003         1.3074642829863537E-003         6.2205324768514541E-004         6.8861500371935052E-004        -4.3599763159261471E+000        -1.5977544331552927E+001        -8.4887723419909136E+001        -6.5324073088657798E+001        -7.6757505987038797E+001        -8.7909264214167123E+001        -9.8999999999999986E+001         5.4495060749957793E+002         0.0000000000000000E+000         1.1661583462561995E+004         9.0836708752341481E+004         3.7736031166806870E-002         1.0108099590011057E+000         0.0000000000000000E+000         9.9999305284055084E-001         1.0915108619477799E-005         1.1124054323423215E+047        -1.0000000000000000E+000
  149         1.0000000000000018E+008         1.0328922079385416E-001         1.0328905902196672E-001        -2.1744031377907175E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5660961006305194E+000        -6.1573646487335036E+000        -4.3294097970318672E+000        -8.4568404420309648E+001        -7.2083493492655933E+001         3.4744853761380510E+000        -2.5737982127450425E+000        -7.0934165040924702E-001         4.8684128975876693E+000        -1.8273987744349027E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972958E-001         2.7698594318571610E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.9061319224098901E-012         7.1343170458744232E-001         6.6801349844100615E-005         2.7142863123437372E-001         1.1077515212280063E-019         1.7828915239660430E-010         0.0000000000000000E+000         2.6341003995945492E-003         3.1974651009222911E-005         7.7791559885678329E-004         6.4454981370108133E-003         5.6888016177788022E-007         1.3074642829864376E-003         3.2948690004442604E-005         6.2205324768518564E-004         6.8861500371939486E-004         3.3034796657248534E-004         7.2311924827933927E-005         3.5183558475503949E-006         1.6719536379087921E-003         6.5500910681349742E+000         2.0311061942455528E+000         1.1392647640714062E+000         0.0000000000000000E+000         3.3790540507385841E-001         1.0328905902196672E-001         7.1343170458740790E-001         2.7142863123437377E-001         2.6341003995945496E-003         7.7791559885678329E-004         6.4454981370108133E-003         1.3074642829864378E-003         6.2205324768518542E-004         6.8861500371939486E-004        -4.3294097970334233E+000        -1.5854728006527687E+001        -8.4568404420309648E+001        -6.5043317467563057E+001        -7.6436786870081789E+001        -8.7555682525353035E+001        -9.8999999999999986E+001         5.4394850828819074E+002         0.0000000000000000E+000         1.1685052182330137E+004         9.1012375564253351E+004         3.8192050581295239E-002         1.0109524961424281E+000         0.0000000000000000E+000         9.9999254070437760E-001         1.1727540664703168E-005         1.1533771489447557E+047        -1.0000000000000000E+000
  150         1.0000000000000018E+008         1.0728147053049239E-001         1.0728130239513786E-001        -2.3181634463718360E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5484236083379792E+000        -6.1488435690893981E+000        -4.2727143137126431E+000        -8.3973005182999430E+001        -2.2714417769606520E+001         3.4752331188884322E+000        -2.5571068957207466E+000        -7.0200088976374053E-001         4.8677913805517630E+000        -1.8273987744348421E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972936E-001         2.9128981406062962E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.0451971908777536E-012         7.1343165773946704E-001         6.6848197766694942E-005         2.7142863123442429E-001         3.5587508272041454E-020         1.7828915239662947E-010         0.0000000000000000E+000         2.6341003995949195E-003         3.1974651009229505E-005         7.7791559885689323E-004         6.4454981370117240E-003         5.6888016177795698E-007         1.3074642829866148E-003         3.2948690004447056E-005         6.2205324768526955E-004         6.8861500371948799E-004         3.3034796657253006E-004         7.2311924827943712E-005         3.5183558475508705E-006         1.6719536379090180E-003         6.5579865429938033E+000         2.0239742203715103E+000         1.0809606164805603E+000         0.0000000000000000E+000         3.3119676892570982E-001         1.0728130239513786E-001         7.1343165773942807E-001         2.7142863123442440E-001         2.6341003995949209E-003         7.7791559885689344E-004         6.4454981370117258E-003         1.3074642829866150E-003         6.2205324768526966E-004         6.8861500371948832E-004        -4.2727143137152037E+000        -1.5625766351912013E+001        -8.3973005182999430E+001        -6.4519496856206530E+001        -7.5838312520759303E+001        -8.6895865919607161E+001        -9.9000000000000000E+001         5.4171596658338524E+002         0.0000000000000000E+000         1.1724195434597163E+004         9.1264659748280406E+004         3.9109599490135656E-002         1.0111861055672073E+000         0.0000000000000000E+000         9.9999158857668524E-001         1.3235881877553297E-005         1.2317641990880797E+047        -1.0000000000000000E+000
  151         1.0000000000000018E+008         1.1133543217207637E-001         1.1133525749779935E-001        -2.4491485052922345E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5293377768565146E+000        -6.1371942919271891E+000        -4.2143696020378485E+000        -8.3359461004848939E+001        -8.8325349727913846E+001         3.4762759863792092E+000        -2.5390950515323842E+000        -6.9454370900456108E-001         4.8671543618278728E+000        -1.8273987744347762E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972858E-001         3.0606570434423449E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.1595418746002068E-012         7.1343160568946107E-001         6.6900247718855099E-005         2.7142863123447614E-001         4.2750789673890510E-020         1.7828915239665535E-010         0.0000000000000000E+000         2.6341003995952995E-003         3.1974651009237731E-005         7.7791559885700642E-004         6.4454981370126591E-003         5.6888016177803608E-007         1.3074642829867967E-003         3.2948690004451644E-005         6.2205324768535618E-004         6.8861500371958395E-004         3.3034796657257598E-004         7.2311924827953781E-005         3.5183558475513592E-006         1.6719536379092507E-003         6.5661691368952599E+000         2.0167745383742517E+000         1.0202042314225996E+000         0.0000000000000000E+000         3.2424075223864168E-001         1.1133525749779935E-001         7.1343160568941733E-001         2.7142863123447619E-001         2.6341003995952995E-003         7.7791559885700631E-004         6.4454981370126599E-003         1.3074642829867967E-003         6.2205324768535607E-004         6.8861500371958384E-004        -4.2143696020420016E+000        -1.5389894146097618E+001        -8.3359461004848939E+001        -6.3979921224925292E+001        -7.5221780162838144E+001        -8.6216148424134161E+001        -9.9000000000000000E+001         5.3888912670071193E+002         0.0000000000000000E+000         1.1748770527176848E+004         9.1337482880213647E+004         3.9896952356543718E-002         1.0114551089739046E+000         0.0000000000000000E+000         9.9999062726333099E-001         1.4756872831103403E-005         1.3140465633395302E+047        -1.0000000000000000E+000
  152         1.0000000000000018E+008         1.1544319459643720E-001         1.1544301321659504E-001        -2.5676018211557617E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5091153133525959E+000        -6.1230979802420507E+000        -4.1543691540343133E+000        -8.2728484790799413E+001        -2.1999155479266793E+001         3.4775636142537500E+000        -2.5200564577308548E+000        -6.8700773300168327E-001         4.8665492295557158E+000        -1.8273987744347091E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972736E-001         3.2112649899000195E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.2481313159516197E-012         7.1343154798836350E-001         6.6957948761996460E-005         2.7142863123452854E-001         5.1935615752084053E-020         1.7828915239668140E-010         0.0000000000000000E+000         2.6341003995956785E-003         3.1974651009248715E-005         7.7791559885712059E-004         6.4454981370136019E-003         5.6888016177811612E-007         1.3074642829869801E-003         3.2948690004456265E-005         6.2205324768544335E-004         6.8861500371968044E-004         3.3034796657262233E-004         7.2311924827963905E-005         3.5183558475518535E-006         1.6719536379094851E-003         6.5746228745584618E+000         2.0095144286330435E+000         9.5753020988870829E-001         0.0000000000000000E+000         3.1704645115011698E-001         1.1544301321659504E-001         7.1343154798831421E-001         2.7142863123452843E-001         2.6341003995956785E-003         7.7791559885712059E-004         6.4454981370136019E-003         1.3074642829869797E-003         6.2205324768544324E-004         6.8861500371968022E-004        -4.1543691540409640E+000        -1.5147109089668842E+001        -8.2728484790799413E+001        -6.3425052045009977E+001        -7.4587877023545005E+001        -8.5517427638921063E+001        -9.8999999999999986E+001         5.3549865503066042E+002         0.0000000000000000E+000         1.1759631691016304E+004         9.1261342190832613E+004         4.1015876405524565E-002         1.0117487333790165E+000         0.0000000000000000E+000         9.9998965895551450E-001         1.6287753631953326E-005         1.4002160889665281E+047        -1.0000000000000000E+000
  153         1.0000000000000018E+008         1.1957421014305966E-001         1.1957402193607529E-001        -2.6709245573473333E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4883657788066871E+000        -6.1078027987342649E+000        -4.0929784241126042E+000        -8.2082678878253674E+001        -4.8057801014649186E+001         3.4789838184487980E+000        -2.5006085012718482E+000        -6.7947337411882580E-001         4.8660292249406574E+000        -1.8273987744346425E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972514E-001         3.3568512795044782E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.3275500712121590E-012         7.1343148518782451E-001         6.7020749246176744E-005         2.7142863123458105E-001         6.3058422241852464E-020         1.7828915239670756E-010         0.0000000000000000E+000         2.6341003995960528E-003         3.1974651009264524E-005         7.7791559885723497E-004         6.4454981370145456E-003         5.6888016177819595E-007         1.3074642829871636E-003         3.2948690004460880E-005         6.2205324768553041E-004         6.8861500371977693E-004         3.3034796657266857E-004         7.2311924827974029E-005         3.5183558475523452E-006         1.6719536379097193E-003         6.5833299705585295E+000         2.0023402018879892E+000         8.9275964134223140E-001         0.0000000000000000E+000         3.0965252419468786E-001         1.1957402193607529E-001         7.1343148518776955E-001         2.7142863123458100E-001         2.6341003995960536E-003         7.7791559885723497E-004         6.4454981370145456E-003         1.3074642829871632E-003         6.2205324768553052E-004         6.8861500371977683E-004        -4.0929784241231095E+000        -1.4898789193497404E+001        -8.2082678878253674E+001        -6.2857547212565358E+001        -7.3939399643562624E+001        -8.4802580167928639E+001        -9.8999999999999986E+001         5.3159268011438326E+002         0.0000000000000000E+000         1.1758140920306167E+004         9.1054607588099039E+004         4.2057899417127419E-002         1.0120455057916984E+000         0.0000000000000000E+000         9.9998869139706970E-001         1.7816937187244351E-005         1.4898095887504359E+047        -1.0000000000000000E+000
  154         1.0000000000000018E+008         1.2373596532455289E-001         1.2373577015579716E-001        -2.7602317851298690E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4669418880453020E+000        -6.0910624137820557E+000        -4.0301387357734670E+000        -8.1421120921927425E+001        -2.5200760589006943E+001         3.4805537466704806E+000        -2.4804325185667824E+000        -6.7190128518149717E-001         4.8655420198198467E+000        -1.8273987744345752E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668972114E-001         3.4968558044490229E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.3701224656109132E-012         7.1343141663702891E-001         6.7089299986793484E-005         2.7142863123463412E-001         7.6526560122574752E-020         1.7828915239673385E-010         0.0000000000000000E+000         2.6341003995964223E-003         3.1974651009289116E-005         7.7791559885735098E-004         6.4454981370154979E-003         5.6888016177827621E-007         1.3074642829873479E-003         3.2948690004465535E-005         6.2205324768561845E-004         6.8861500371987419E-004         3.3034796657271530E-004         7.2311924827984274E-005         3.5183558475528432E-006         1.6719536379099557E-003         6.5923072265131077E+000         1.9952199429026514E+000         8.2487841363284531E-001         0.0000000000000000E+000         3.0203666595634515E-001         1.2373577015579716E-001         7.1343141663696708E-001         2.7142863123463407E-001         2.6341003995964223E-003         7.7791559885735076E-004         6.4454981370154962E-003         1.3074642829873479E-003         6.2205324768561823E-004         6.8861500371987419E-004        -4.0301387357898726E+000        -1.4644657859764241E+001        -8.1421120921927425E+001        -6.2276617246420642E+001        -7.3275399634561737E+001        -8.4070529314278247E+001        -9.8999999999999986E+001         5.2709438481553764E+002         0.0000000000000000E+000         1.1741946528276008E+004         9.0689650067143957E+004         4.3280312899647295E-002         1.0123484198217170E+000         0.0000000000000000E+000         9.9998772364763455E-001         1.9346468454631464E-005         1.5830808141555350E+047        -1.0000000000000000E+000
  155         1.0000000000000018E+008         1.2793204578190476E-001         1.2793184350740988E-001        -2.8374405107504876E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4447187178164298E+000        -6.0726010089238818E+000        -3.9657537675691121E+000        -8.0743153516021820E+001        -6.8107692471865604E+001         3.4822994063940711E+000        -2.4596454033646378E+000        -6.6428101951424323E-001         4.8650793488300312E+000        -1.8273987744345042E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668971437E-001         3.6328838958420104E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.3971107314346092E-012         7.1343134252513651E-001         6.7163411823149672E-005         2.7142863123468763E-001         9.2805948524664205E-020         1.7828915239676037E-010         0.0000000000000000E+000         2.6341003995967796E-003         3.1974651009329495E-005         7.7791559885746829E-004         6.4454981370164555E-003         5.6888016177835731E-007         1.3074642829875344E-003         3.2948690004470231E-005         6.2205324768570692E-004         6.8861500371997242E-004         3.3034796657276241E-004         7.2311924827994574E-005         3.5183558475533434E-006         1.6719536379101937E-003         6.6015620542960161E+000         1.9881310219007089E+000         7.5364908262547659E-001         0.0000000000000000E+000         2.9418501418880771E-001         1.2793184350740988E-001         7.1343134252506768E-001         2.7142863123468763E-001         2.6341003995967796E-003         7.7791559885746807E-004         6.4454981370164546E-003         1.3074642829875339E-003         6.2205324768570692E-004         6.8861500371997220E-004        -3.9657537675944670E+000        -1.4384279808626014E+001        -8.0743153516021820E+001        -6.1681552268551201E+001        -7.2595170512389529E+001        -8.3320587445356196E+001        -9.8999999999999986E+001         5.2195622785002683E+002         0.0000000000000000E+000         1.1709027819755864E+004         9.0143866878740082E+004         4.4372977423083014E-002         1.0126603718246130E+000         0.0000000000000000E+000         9.9998675561184469E-001         2.0876887666285933E-005         1.6802259216182178E+047        -1.0000000000000000E+000
  156         1.0000000000000018E+008         1.3215757621048552E-001         1.3215736669220371E-001        -2.9029083593195719E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4218348650645942E+000        -6.0527423034609145E+000        -3.8999526802347120E+000        -8.0050108852165948E+001        -4.5561780447750827E+001         3.4841905998897782E+000        -2.4382593145004741E+000        -6.5662148012973987E-001         4.8646418480223055E+000        -1.8273987744344373E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668970182E-001         3.7632499000487472E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.4018405306401426E-012         7.1343126274055468E-001         6.7243196348691788E-005         2.7142863123474165E-001         1.1243056975066544E-019         1.7828915239678695E-010         0.0000000000000000E+000         2.6341003995971105E-003         3.1974651009398356E-005         7.7791559885758733E-004         6.4454981370174165E-003         5.6888016177843863E-007         1.3074642829877211E-003         3.2948690004474934E-005         6.2205324768579583E-004         6.8861500372007075E-004         3.3034796657280957E-004         7.2311924828004888E-005         3.5183558475538461E-006         1.6719536379104323E-003         6.6110767329289537E+000         1.9810340715246659E+000         6.7964298965057457E-001         0.0000000000000000E+000         2.8609542381502695E-001         1.3215736669220371E-001         7.1343126274047741E-001         2.7142863123474165E-001         2.6341003995971114E-003         7.7791559885758755E-004         6.4454981370174183E-003         1.3074642829877211E-003         6.2205324768579593E-004         6.8861500372007086E-004        -3.8999526802735209E+000        -1.4118016821150411E+001        -8.0050108852165948E+001        -6.1073374024254889E+001        -7.1899961949721913E+001        -8.2554204982328784E+001        -9.8999999999999986E+001         5.1615977310985897E+002         0.0000000000000000E+000         1.1658817719741486E+004         8.9414740781635570E+004         4.5488572017590864E-002         1.0129764022363983E+000         0.0000000000000000E+000         9.9998578904128643E-001         2.2405276345362192E-005         1.7812401506576075E+047        -1.0000000000000000E+000
  157         1.0000000000000018E+008         1.3673067125602500E-001         1.3673045384271768E-001        -2.9685134208979000E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.3979922986597120E+000        -6.0318538601524203E+000        -3.8308569259321770E+000        -7.9325206861066093E+001        -7.4896368158606947E+001         3.4862042413426861E+000        -2.4160994579246489E+000        -6.4872747983311363E-001         4.8643430773908376E+000        -1.8273987744343652E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719668967496E-001         3.9018626906976096E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.3959061381138948E-012         7.1343117366538056E-001         6.7332271462902110E-005         2.7142863123479888E-001         1.3831923151526491E-019         1.7828915239681722E-010         0.0000000000000000E+000         2.6341003995974106E-003         3.1974651009556432E-005         7.7791559885772676E-004         6.4454981370185085E-003         5.6888016177852968E-007         1.3074642829879306E-003         3.2948690004480219E-005         6.2205324768589568E-004         6.8861500372018112E-004         3.3034796657286253E-004         7.2311924828016475E-005         3.5183558475544098E-006         1.6719536379107003E-003         6.6210931217271387E+000         1.9739162197917826E+000         6.0359034091683517E-001         0.0000000000000000E+000         2.7778301280864043E-001         1.3673045384271768E-001         7.1343117366529385E-001         2.7142863123479893E-001         2.6341003995974115E-003         7.7791559885772687E-004         6.4454981370185103E-003         1.3074642829879310E-003         6.2205324768589579E-004         6.8861500372018123E-004        -3.8308569259998775E+000        -1.3839176326152637E+001        -7.9325206861066093E+001        -6.0437800760960144E+001        -7.1173290016965495E+001        -8.1753085780902836E+001        -9.8999999999999986E+001         5.0994003210979071E+002         0.0000000000000000E+000         1.1599597676747484E+004         8.8580031005539495E+004         4.6769208244390660E-002         1.0133160601499762E+000         0.0000000000000000E+000         9.9998467294915405E-001         2.4170198104349491E-005         1.8937998596001544E+047        -1.0000000000000000E+000
