# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2711  1.47617E-02     0.02     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1518   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
  193         1.0000000000000029E+009         1.0102423112563491E-001         1.0102401397997757E-001        -5.1081653925555627E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -3.0002943431851410E+000        -6.6875778985423278E+000        -3.0026860477466317E+000        -7.4813437419824865E+001        -9.7953864855065078E+001         3.4583769973607947E+000        -5.2900019517038652E+000        -8.9422401413204589E-001         5.2302004748365007E+000        -1.8273987744205689E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719628427025E-001         7.9724815721103482E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         9.0573116026883198E-016         7.1323425640700067E-001         2.6424945422185174E-004         2.7142863130989064E-001         1.3506230666311392E-018         1.7828915239664604E-010         0.0000000000000000E+000         2.6341003968728535E-003         3.1974653847102765E-005         7.7791559899803098E-004         6.4454981370123381E-003         5.6888016177803502E-007         1.3074642829867488E-003         3.2948690004450458E-005         6.2205324768533309E-004         6.8861500371955858E-004         3.3034796657256389E-004         7.2311924827951111E-005         3.5183558475512267E-006         1.6719536379091863E-003         6.6588330365540402E+000         2.5789216155595711E+000         2.8148052688716123E+000         0.0000000000000000E+000         3.9996301865776335E-001         1.0102401397997757E-001         7.1323425640638816E-001         2.7142863130989059E-001         2.6341003968728526E-003         7.7791559899803098E-004         6.4454981370123364E-003         1.3074642829867486E-003         6.2205324768533298E-004         6.8861500371955836E-004        -3.0026860488854661E+000        -1.2106760208588305E+001        -7.4813437419824865E+001        -5.7140867091028305E+001        -6.7477317924560722E+001        -7.7723167705589859E+001        -9.9000000000000000E+001         1.0336511236992196E+003         0.0000000000000000E+000         2.7266108945149084E+004         2.2352276089094672E+005         2.3732344443071852E-002         1.0061223448283541E+000         0.0000000000000000E+000         9.9999621002847827E-001         5.9247714935979115E-006         1.2072271472606757E+047        -1.0000000000000000E+000
  194         1.0000000000000029E+009         1.0459507969556038E-001         1.0459485344869486E-001        -5.6523868847721523E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.9693231799277253E+000        -6.6535524889206092E+000        -2.9712303698262450E+000        -7.4374868302748439E+001        -9.1332498332727482E+001         3.4608923751469405E+000        -5.3653173682462318E+000        -8.8376918807562854E-001         5.2218667202815974E+000        -1.8273987744086522E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719533000480E-001         9.0642859738656681E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.7791116029279893E-015         7.1322351623004965E-001         2.7498947933152077E-004         2.7142863146130403E-001         1.8247223442092359E-018         1.7828915239667882E-010         0.0000000000000000E+000         2.6341003920806118E-003         3.1974658848777621E-005         7.7791559924725285E-004         6.4454981370135663E-003         5.6888016177818462E-007         1.3074642829869821E-003         3.2948690004456333E-005         6.2205324768544422E-004         6.8861500371968152E-004         3.3034796657262287E-004         7.2311924827964027E-005         3.5183558475518552E-006         1.6719536379094851E-003         6.6659922780809602E+000         2.5608933516308467E+000         2.6893656978559535E+000         0.0000000000000000E+000         3.9004085247131998E-001         1.0459485344869486E-001         7.1322351622940061E-001         2.7142863146130408E-001         2.6341003920806127E-003         7.7791559924725306E-004         6.4454981370135672E-003         1.3074642829869825E-003         6.2205324768544433E-004         6.8861500371968152E-004        -2.9712303727624092E+000        -1.1939546565949810E+001        -7.4374868302748439E+001        -5.6742921020515915E+001        -6.7019778298311536E+001        -7.7217589941428770E+001        -9.9000000000000000E+001         1.0134126696227181E+003         0.0000000000000000E+000         2.6748343881824134E+004         2.1854576670516736E+005         2.4967802726092468E-002         1.0064626992993555E+000         0.0000000000000000E+000         9.9999540482740223E-001         7.1972386589298234E-006         1.3128971094447231E+047        -1.0000000000000000E+000
  195         1.0000000000000029E+009         1.0927932215213115E-001         1.0927908362840361E-001        -6.3688659504695451E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.9286813723986560E+000        -6.6089182663674064E+000        -2.9299922783972359E+000        -7.3798985189144489E+001        -8.3965785260220599E+001         3.4641831514539558E+000        -5.4737199967827062E+000        -8.7002983692512659E-001         5.2108850915323783E+000        -1.8273987743918765E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719386297009E-001         1.0485131357964481E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.9705556058457712E-015         7.1320859521550939E-001         2.8991022904818742E-004         2.7142863172553494E-001         2.5081670842413901E-018         1.7828915239672181E-010         0.0000000000000000E+000         2.6341003848770294E-003         3.1974666367293880E-005         7.7791559962186541E-004         6.4454981370151883E-003         5.6888016177839067E-007         1.3074642829872883E-003         3.2948690004464044E-005         6.2205324768558994E-004         6.8861500371984275E-004         3.3034796657270023E-004         7.2311924827980981E-005         3.5183558475526789E-006         1.6719536379098767E-003         6.6753972280107385E+000         2.5371693557468697E+000         2.5240779442707426E+000         0.0000000000000000E+000         3.7698326379355873E-001         1.0927908362840361E-001         7.1320859521481172E-001         2.7142863172553505E-001         2.6341003848770307E-003         7.7791559962186562E-004         6.4454981370151918E-003         1.3074642829872889E-003         6.2205324768559015E-004         6.8861500371984296E-004        -2.9299922836611692E+000        -1.1720006470717445E+001        -7.3798985189144489E+001        -5.6220325567704243E+001        -6.6418909935996453E+001        -7.6553628420252721E+001        -9.9000000000000000E+001         9.8672163928417842E+002         0.0000000000000000E+000         2.6065308349529871E+004         2.1197467949781427E+005         2.6590839358213665E-002         1.0069111413426015E+000         0.0000000000000000E+000         9.9999435147038684E-001         8.8618837658146925E-006         1.4517030652943178E+047        -1.0000000000000000E+000
  196         1.0000000000000029E+009         1.1413954718848826E-001         1.1413929549035058E-001        -7.1135189197294400E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.8864375642162567E+000        -6.5625089411749453E+000        -2.8873859240427291E+000        -7.3202571581923038E+001        -8.4429465843205477E+001         3.4676010614932595E+000        -5.5961387398134184E+000        -8.5574375291253368E-001         5.1994297759752826E+000        -1.8273987743745768E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719205170251E-001         1.1960846952049177E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         3.8979752963043874E-015         7.1319207587424216E-001         3.0642917518435621E-004         2.7142863212004575E-001         3.3011035172298311E-018         1.7828915239676492E-010         0.0000000000000000E+000         2.6341003759961434E-003         3.1974675636515331E-005         7.7791560008367579E-004         6.4454981370168319E-003         5.6888016177861502E-007         1.3074642829875951E-003         3.2948690004471783E-005         6.2205324768573587E-004         6.8861500372000451E-004         3.3034796657277775E-004         7.2311924827997949E-005         3.5183558475535044E-006         1.6719536379102692E-003         6.6851446158890884E+000         2.5124620370064212E+000         2.3521623351517902E+000         0.0000000000000000E+000         3.6341677258086180E-001         1.1413929549035058E-001         7.1319207587349376E-001         2.7142863212004575E-001         2.6341003759961438E-003         7.7791560008367579E-004         6.4454981370168319E-003         1.3074642829875955E-003         6.2205324768573587E-004         6.8861500372000440E-004        -2.8873859317268740E+000        -1.1492651558002576E+001        -7.3202571581923038E+001        -5.5678961688837681E+001        -6.5796442754654763E+001        -7.5865789344952020E+001        -9.8999999999999972E+001         9.5890958166834355E+002         0.0000000000000000E+000         2.5352467075322922E+004         2.0512097441165472E+005         2.8276638149961612E-002         1.0073770508227302E+000         0.0000000000000000E+000         9.9999325789360882E-001         1.0589937735654889E-005         1.5957586937309716E+047        -1.0000000000000000E+000
  197         1.0000000000000029E+009         1.1878387712814432E-001         1.1878361238578312E-001        -7.8243875134674576E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.8460685871097260E+000        -6.5181582583036946E+000        -2.8466690579029978E+000        -7.2632597422239300E+001        -9.2995960850623135E+001         3.4708675476720359E+000        -5.7234264317309274E+000        -8.4209223671682076E-001         5.1884832511122516E+000        -1.8273987743536677E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489719001523973E-001         1.3370120017695305E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         4.7836361624993216E-015         7.1317526104947926E-001         3.2324349705668051E-004         2.7142863262219119E-001         4.1473953861428595E-018         1.7828915239680171E-010         0.0000000000000000E+000         2.6341003660200592E-003         3.1974686048844825E-005         7.7791560060239747E-004         6.4454981370182570E-003         5.6888016177883123E-007         1.3074642829878562E-003         3.2948690004478349E-005         6.2205324768585990E-004         6.8861500372014155E-004         3.3034796657284367E-004         7.2311924828012355E-005         3.5183558475542049E-006         1.6719536379106023E-003         6.6944602036363987E+000         2.4888520442175448E+000         2.1878658022156610E+000         0.0000000000000000E+000         3.5045196253204680E-001         1.1878361238578312E-001         7.1317526104868223E-001         2.7142863262219119E-001         2.6341003660200588E-003         7.7791560060239725E-004         6.4454981370182535E-003         1.3074642829878557E-003         6.2205324768585990E-004         6.8861500372014144E-004        -2.8466690679071176E+000        -1.1275376504330469E+001        -7.2632597422239300E+001        -5.5161599455556541E+001        -6.5201572555917409E+001        -7.5208445492250064E+001        -9.9000000000000000E+001         9.3232867712125073E+002         0.0000000000000000E+000         2.4671114303493890E+004         1.9857026702754773E+005         2.9886649509352062E-002         1.0078221739273665E+000         0.0000000000000000E+000         9.9999221270716854E-001         1.2241458864315307E-005         1.7334306321608535E+047        -1.0000000000000000E+000
  198         1.0000000000000029E+009         1.2367504163800340E-001         1.2367476266647962E-001        -8.5743409127172682E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.8035042588292312E+000        -6.4713851324254899E+000        -2.8039156181213634E+000        -7.2033143719700263E+001        -9.7906645706234912E+001         3.4743099525388508E+000        -5.8920000640216754E+000        -8.2769488231020338E-001         5.1769143567822278E+000        -1.8273987743254461E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489718754365490E-001         1.4855952190851642E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4893463200374581E-015         7.1315639598631875E-001         3.4210783226945975E-004         2.7142863334914469E-001         5.1327858753589555E-018         1.7828915239682140E-010         0.0000000000000000E+000         2.6341003539272221E-003         3.1974698670290529E-005         7.7791560123107372E-004         6.4454981370190784E-003         5.6888016177901525E-007         1.3074642829879906E-003         3.2948690004481744E-005         6.2205324768592387E-004         6.8861500372021257E-004         3.3034796657287760E-004         7.2311924828019809E-005         3.5183558475545670E-006         1.6719536379107740E-003         6.7042623328817905E+000         2.4639259024152391E+000         2.0145800535377782E+000         0.0000000000000000E+000         3.3678745093116325E-001         1.2367476266647962E-001         7.1315639598547065E-001         2.7142863334914474E-001         2.6341003539272212E-003         7.7791560123107362E-004         6.4454981370190793E-003         1.3074642829879904E-003         6.2205324768592387E-004         6.8861500372021235E-004        -2.8039156305693527E+000        -1.1046871810431508E+001        -7.2033143719700263E+001        -5.4617384232964497E+001        -6.4575813465920803E+001        -7.4516961450413206E+001        -9.8999999999999972E+001         9.0425959557634917E+002         0.0000000000000000E+000         2.3950913583327263E+004         1.9164853177718580E+005         3.1584282773777214E-002         1.0082914847191948E+000         0.0000000000000000E+000         9.9999111146591080E-001         1.3982097895886970E-005         1.8784309298785889E+047        -1.0000000000000000E+000
  199         1.0000000000000029E+009         1.2840776662469738E-001         1.2840747334193309E-001        -9.3000027803734007E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7623102160759694E+000        -6.4261153453985598E+000        -2.7625676062759483E+000        -7.1453255099085339E+001        -9.8495153029665573E+001         3.4776416954177787E+000        -6.0684327053460914E+000        -8.1376134669142830E-001         5.1657151034090649E+000        -1.8273987742943136E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489718477833204E-001         1.6294037906592471E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         6.0910602419826843E-015         7.1313694990582666E-001         3.6155299073846253E-004         2.7142863427007291E-001         6.1936247576324085E-018         1.7828915239683978E-010         0.0000000000000000E+000         2.6341003404039662E-003         3.1974712784812519E-005         7.7791560193411432E-004         6.4454981370198694E-003         5.6888016177921081E-007         1.3074642829881159E-003         3.2948690004484895E-005         6.2205324768598361E-004         6.8861500372027849E-004         3.3034796657290932E-004         7.2311924828026748E-005         3.5183558475549041E-006         1.6719536379109347E-003         6.7137453172459827E+000         2.4397995296693087E+000         1.8468902827525757E+000         0.0000000000000000E+000         3.2356534622497096E-001         1.2840747334193309E-001         7.1313694990492871E-001         2.7142863427007291E-001         2.6341003404039653E-003         7.7791560193411443E-004         6.4454981370198694E-003         1.3074642829881157E-003         6.2205324768598350E-004         6.8861500372027849E-004        -2.7625676210920367E+000        -1.0825826039176686E+001        -7.1453255099085339E+001        -5.4090917691488130E+001        -6.3970460574935565E+001        -7.3848025912592263E+001        -9.9000000000000000E+001         8.7709115023372078E+002         0.0000000000000000E+000         2.3253706891646827E+004         1.8494831251384591E+005         3.3227210324122944E-002         1.0087456672373587E+000         0.0000000000000000E+000         9.9999004556879023E-001         1.5667442248172204E-005         2.0187334550412316E+047        -1.0000000000000000E+000
  200         1.0000000000000029E+009         1.3328461972020489E-001         1.3328431120448156E-001        -1.0045426007526020E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7204970475489954E+000        -6.3804285143200428E+000        -2.7206421533982099E+000        -7.0865849103949486E+001        -9.7837802873125327E+001         3.4809988247961026E+000        -6.3134202686728438E+000        -7.9956902118458861E-001         5.1543387030873307E+000        -1.8273987742501105E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489718100488349E-001         1.7770351606699473E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         6.6103455515835758E-015         7.1311602566373256E-001         3.8247586849078370E-004         2.7142863563269465E-001         7.4305318412199001E-018         1.7828915239685385E-010         0.0000000000000000E+000         2.6341003199839936E-003         3.1974734109852560E-005         7.7791560299686675E-004         6.4454981370205859E-003         5.6888016177958085E-007         1.3074642829882088E-003         3.2948690004487246E-005         6.2205324768602795E-004         6.8861500372032760E-004         3.3034796657293284E-004         7.2311924828031871E-005         3.5183558475551544E-006         1.6719536379110540E-003         6.7233602951625357E+000         2.4152473792732096E+000         1.6772055510405144E+000         0.0000000000000000E+000         3.1020558635764195E-001         1.3328431120448156E-001         7.1311602566278387E-001         2.7142863563269470E-001         2.6341003199839936E-003         7.7791560299686686E-004         6.4454981370205859E-003         1.3074642829882088E-003         6.2205324768602795E-004         6.8861500372032760E-004        -2.7206421716565607E+000        -1.0601731090182495E+001        -7.0865849103949486E+001        -5.3557527433196348E+001        -6.3357140528605910E+001        -7.3170288049572633E+001        -9.8999999999999972E+001         8.4958423552118995E+002         0.0000000000000000E+000         2.2548581733540021E+004         1.7818080648036482E+005         3.4896670182579526E-002         1.0092081740454708E+000         0.0000000000000000E+000         9.9998892489529934E-001         1.7439022183830473E-005         2.1636036663947937E+047        -1.0000000000000000E+000
  201         1.0000000000000029E+009         1.3886360797184327E-001         1.3886328183980864E-001        -1.0883377773134199E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6763182225347144E+000        -6.3336823282825208E+000        -2.6763996308976798E+000        -7.0250456319458181E+001        -9.5972859771387078E+001         3.4844057164325872E+000        -6.6357053292443533E+000        -7.8429339195041670E-001         5.1422986318096529E+000        -1.8273987741507101E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489717279194738E-001         1.9426394268397883E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         7.0465388208086192E-015         7.1309291619015946E-001         4.0558242229501860E-004         2.7142863854771149E-001         9.1838719448525498E-018         1.7828915239686238E-010         0.0000000000000000E+000         2.6341002649953186E-003         3.1974791594852848E-005         7.7791560586448988E-004         6.4454981370215114E-003         5.6888016178105173E-007         1.3074642829882552E-003         3.2948690004488419E-005         6.2205324768605007E-004         6.8861500372035199E-004         3.3034796657294455E-004         7.2311924828034459E-005         3.5183558475552797E-006         1.6719536379111129E-003         6.7334795667608791E+000         2.3889777757868829E+000         1.5010066756825400E+000         0.0000000000000000E+000         2.9643471381053577E-001         1.3886328183980864E-001         7.1309291618915449E-001         2.7142863854771165E-001         2.6341002649953186E-003         7.7791560586449010E-004         6.4454981370215114E-003         1.3074642829882554E-003         6.2205324768605029E-004         6.8861500372035221E-004        -2.6763996587570342E+000        -1.0365891127818447E+001        -7.0250456319458181E+001        -5.2998259222518918E+001        -6.2714045639964375E+001        -7.2459665876526969E+001        -9.8999999999999986E+001         8.2097612242766138E+002         0.0000000000000000E+000         2.1820463973325943E+004         1.7124132802227596E+005         3.6670248462468587E-002         1.0097052195420488E+000         0.0000000000000000E+000         9.9998751767005767E-001         1.9662659742774167E-005         2.3309600460674709E+047        -1.0000000000000000E+000
  202         1.0000000000000029E+009         1.4417630432008036E-001         1.4417596073293321E-001        -1.1680731764190926E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6343130959943593E+000        -6.2892644001409783E+000        -2.6343312555872331E+000        -6.9665449772586214E+001        -9.7080201732510204E+001         3.4876430004238426E+000        -6.9575586264049702E+000        -7.6976539666274979E-001         5.1308534282795222E+000        -1.8273987740409261E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489716374673269E-001         2.1003064003823149E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         7.4083619975584218E-015         7.1306954565757352E-001         4.2894940921568583E-004         2.7142864208809947E-001         1.1033868639818632E-017         1.7828915239686780E-010         0.0000000000000000E+000         2.6341002040349750E-003         3.1974855325120154E-005         7.7791560904375435E-004         6.4454981370223935E-003         5.6888016178269486E-007         1.3074642829882790E-003         3.2948690004489028E-005         6.2205324768606156E-004         6.8861500372036468E-004         3.3034796657295063E-004         7.2311924828035801E-005         3.5183558475553441E-006         1.6719536379111439E-003         6.7431000235297756E+000         2.3639986270963282E+000         1.3335746282594365E+000         0.0000000000000000E+000         2.8335033432385620E-001         1.4417596073293321E-001         7.1306954565651481E-001         2.7142864208809975E-001         2.6341002040349763E-003         7.7791560904375489E-004         6.4454981370223943E-003         1.3074642829882801E-003         6.2205324768606189E-004         6.8861500372036511E-004        -2.6343312927022109E+000        -1.0141674638569754E+001        -6.9665449772586214E+001        -5.2466601648950309E+001        -6.2102699992437067E+001        -7.1784127485124188E+001        -9.8999999999999986E+001         7.9379091258251913E+002         0.0000000000000000E+000         2.1128662342870641E+004         1.6464915291061939E+005         3.8356640357919497E-002         1.0101779194453997E+000         0.0000000000000000E+000         9.9998617496237319E-001         2.1784180063219289E-005         2.4903542635317888E+047         0.0000000000000000E+000
