# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2512  1.48310E-03    -1.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1485   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
  226         4.0000000000000119E+009         1.0422047529907569E-001         1.0422000220218976E-001        -7.7241881141796885E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7912094745702061E+000        -7.0421234459615274E+000        -2.7910371621519667E+000        -7.4305349813509878E+001        -9.3028196697607072E+001         3.5294394537182092E+000        -6.2003331214347339E+000        -9.3180649253940762E-001         5.3166209997772960E+000        -2.8450987741378908E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489718000049914E-001         3.6651920489536886E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.4128525195800079E-015         7.4573414018899820E-001         1.7489089304466073E-003         2.5108838186681343E-001         9.9385407675042916E-018         1.6897809088217823E-011         0.0000000000000000E+000         2.4965357516121197E-004         3.0304870735429380E-006         7.3728935105732440E-005         6.1088852313013922E-004         5.3917068080667620E-008         1.2391826169220216E-004         3.1227961203343140E-006         5.8956682898492674E-005         6.5265243071241770E-005         3.1309570979416744E-005         6.8535470841520913E-006         3.3346114790010131E-007         1.5846366981923937E-004         6.6611710347825168E+000         2.7012035997023061E+000         3.5922101941294859E+000         0.0000000000000000E+000         4.3172562086931837E-001         1.0422000220218976E-001         7.4573414018785900E-001         2.5108838186681354E-001         2.4965357516121181E-004         7.3728935105732426E-005         6.1088852313013922E-004         1.2391826169220213E-004         5.8956682898492660E-005         6.5265243071241743E-005        -2.7910371624859507E+000        -1.2841155507406619E+001        -7.4305349813509878E+001        -5.7789255527504189E+001        -6.8089741819112106E+001        -7.8304199337800696E+001        -9.8999999999999972E+001         1.2035927047245043E+003         0.0000000000000000E+000         3.0771804930369708E+004         2.6594961240626237E+005         2.3751656278993283E-002         1.0056740522976511E+000         0.0000000000000000E+000         9.9999701137010855E-001         4.6730730354867991E-006         1.2199480935509633E+047         0.0000000000000000E+000
  227         4.0000000000000119E+009         1.0723456233437190E-001         1.0723406524853785E-001        -8.4615234394831164E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7630917613347199E+000        -7.0117852501987787E+000        -2.7629250724494416E+000        -7.3883770536346233E+001        -7.5168028266413685E+001         3.5315797765518235E+000        -6.1911111434010886E+000        -9.2202828158889372E-001         5.3076796189789315E+000        -2.8450987739932687E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489716765566043E-001         4.0715575381263153E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.5448677286626341E-015         7.4566213323894970E-001         1.8208663709527045E-003         2.5108843137588016E-001         1.2764633575487857E-017         1.6897809088216418E-011         0.0000000000000000E+000         2.4965356950522441E-004         3.0304929804451022E-006         7.3728935400041993E-005         6.1088852313014573E-004         5.3917068080741729E-008         1.2391826169219270E-004         3.1227961203340769E-006         5.8956682898488195E-005         6.5265243071236810E-005         3.1309570979414351E-005         6.8535470841515704E-006         3.3346114790007590E-007         1.5846366981922731E-004         6.6681933949404977E+000         2.6830946398613613E+000         3.4480462607319047E+000         0.0000000000000000E+000         4.2114740645295573E-001         1.0723406524853785E-001         7.4566213323775099E-001         2.5108843137588055E-001         2.4965356950522430E-004         7.3728935400041993E-005         6.1088852313014573E-004         1.2391826169219267E-004         5.8956682898488195E-005         6.5265243071236783E-005        -2.7629250730043489E+000        -1.2681820692233442E+001        -7.3883770536346233E+001        -5.7405752573972727E+001        -6.7648329593870926E+001        -7.7816177299885197E+001        -9.8999999999999972E+001         1.1802812814338395E+003         0.0000000000000000E+000         3.0164873246328891E+004         2.5985149452715719E+005         2.4621551317103450E-002         1.0059034531889646E+000         0.0000000000000000E+000         9.9999641776632542E-001         5.6094650499685983E-006         1.3180995226526016E+047         0.0000000000000000E+000
  228         4.0000000000000119E+009         1.1030725256382429E-001         1.1030672969671991E-001        -9.2134103816901450E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7344295193261989E+000        -6.9808614999672169E+000        -2.7342683312754685E+000        -7.3454140008179280E+001        -5.9193771238544493E+001         3.5337615228492743E+000        -6.1806206744846204E+000        -9.1206065317953378E-001         5.2985657908257782E+000        -2.8450987738270919E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489715354398638E-001         4.4859264022975518E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.6704538081299404E-015         7.4558589938893149E-001         1.8970284110537197E-003         2.5108850318525094E-001         1.5951957980835088E-017         1.6897809088214980E-011         0.0000000000000000E+000         2.4965356303973513E-004         3.0304997327994508E-006         7.3728935736479481E-005         6.1088852313015939E-004         5.3917068080827114E-008         1.2391826169218310E-004         3.1227961203338351E-006         5.8956682898483627E-005         6.5265243071231741E-005         3.1309570979411932E-005         6.8535470841510393E-006         3.3346114790005006E-007         1.5846366981921506E-004         6.6753502536772542E+000         2.6646354684598248E+000         3.3011485879485583E+000         0.0000000000000000E+000         4.1036809464175567E-001         1.1030672969671991E-001         7.4558589938767239E-001         2.5108850318525155E-001         2.4965356303973508E-004         7.3728935736479481E-005         6.1088852313015939E-004         1.2391826169218308E-004         5.8956682898483621E-005         6.5265243071231741E-005        -2.7342683320560917E+000        -1.2519442372129735E+001        -7.3454140008179280E+001        -5.7014922412507040E+001        -6.7198483328113298E+001        -7.7318830609260019E+001        -9.8999999999999986E+001         1.1565224728864662E+003         0.0000000000000000E+000         2.9546371665001141E+004         2.5363696524287233E+005         2.5508801073325399E-002         1.0061373805810412E+000         0.0000000000000000E+000         9.9999581215112254E-001         6.5648008800984524E-006         1.4181523995285773E+047         0.0000000000000000E+000
  229         4.0000000000000119E+009         1.1327674808910912E-001         1.1327619902474358E-001        -9.9402439542554478E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7067318828098403E+000        -6.9509803122613629E+000        -2.7065758029228815E+000        -7.3039062292458169E+001        -4.5808345167116585E+001         3.5358698427200537E+000        -6.1694840075563118E+000        -9.0242847466291432E-001         5.2897594286212373E+000        -2.8450987736489934E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489713847094967E-001         4.8864734912313525E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.7804759660438981E-015         7.4550935040950617E-001         1.9734907042470765E-003         2.5108858987089683E-001         1.9321072884753388E-017         1.6897809088213590E-011         0.0000000000000000E+000         2.4965355613378439E-004         3.0305069451886035E-006         7.3728936095841016E-005         6.1088852313017901E-004         5.3917068080918865E-008         1.2391826169217378E-004         3.1227961203336013E-006         5.8956682898479203E-005         6.5265243071226835E-005         3.1309570979409574E-005         6.8535470841505260E-006         3.3346114790002502E-007         1.5846366981920319E-004         6.6822650268062160E+000         2.6467981773412794E+000         3.1592477202808338E+000         0.0000000000000000E+000         3.9995500307729681E-001         1.1327619902474358E-001         7.4550935040818966E-001         2.5108858987089777E-001         2.4965355613378433E-004         7.3728936095841016E-005         6.1088852313017901E-004         1.2391826169217381E-004         5.8956682898479216E-005         6.5265243071226822E-005        -2.7065758039221270E+000        -1.2362563939344360E+001        -7.3039062292458169E+001        -5.6637328483779442E+001        -6.6763871653116666E+001        -7.6838327160365282E+001        -9.8999999999999972E+001         1.1335671098959617E+003         0.0000000000000000E+000         2.8948858360249062E+004         2.4763317605404273E+005         2.6366675033425518E-002         1.0063635148080288E+000         0.0000000000000000E+000         9.9999522643423644E-001         7.4887475033617373E-006         1.5148392195320161E+047         0.0000000000000000E+000
  230         4.0000000000000119E+009         1.1636020633470581E-001         1.1635962877643971E-001        -1.0695167897362844E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6779720683639705E+000        -6.9199546254080531E+000        -2.6778211026804648E+000        -7.2608135756990691E+001        -4.4504828124879175E+001         3.5380590648921060E+000        -6.1570134780148429E+000        -8.9242701178408423E-001         5.2806158503796068E+000        -2.8450987734257063E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489712152628778E-001         5.3024865931365653E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.8880685399434953E-015         7.4542641631153050E-001         2.0563187745227139E-003         2.5108869589786220E-001         2.3084521102490724E-017         1.6897809088212085E-011         0.0000000000000000E+000         2.4965354837031976E-004         3.0305150531638364E-006         7.3728936499827417E-005         6.1088852313020340E-004         5.3917068081022282E-008         1.2391826169216364E-004         3.1227961203333459E-006         5.8956682898474405E-005         6.5265243071221523E-005         3.1309570979407020E-005         6.8535470841499661E-006         3.3346114789999787E-007         1.5846366981919023E-004         6.6894441061317380E+000         2.6282772526823339E+000         3.0119466394733561E+000         0.0000000000000000E+000         3.8914553823536496E-001         1.1635962877643971E-001         7.4542641631015238E-001         2.5108869589786342E-001         2.4965354837031971E-004         7.3728936499827430E-005         6.1088852313020340E-004         1.2391826169216367E-004         5.8956682898474405E-005         6.5265243071221509E-005        -2.6778211039071627E+000        -1.2199696012763956E+001        -7.2608135756990691E+001        -5.6245315405129546E+001        -6.6312663191508150E+001        -7.6339474407944110E+001        -9.8999999999999972E+001         1.1097346869897583E+003         0.0000000000000000E+000         2.8328569486164699E+004         2.4140050521629356E+005         2.7257899687376498E-002         1.0065983977554558E+000         0.0000000000000000E+000         9.9999461782440668E-001         8.4488142944257940E-006         1.6152331433837866E+047         0.0000000000000000E+000
  231         4.0000000000000119E+009         1.1953142685343811E-001         1.1953081839770779E-001        -1.1471871519161935E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6483955245275124E+000        -6.8880502891953208E+000        -2.6482495829048749E+000        -7.2165134409606253E+001        -4.9678872481895191E+001         3.5403103955585551E+000        -6.1431883739886262E+000        -8.8214140119875162E-001         5.2712130564596906E+000        -2.8450987731654820E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489710227289612E-001         5.7304732816958103E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.9936170450841730E-015         7.4533769239008307E-001         2.1448961596876063E-003         2.5108884243328888E-001         2.7321773797504770E-017         1.6897809088210524E-011         0.0000000000000000E+000         2.4965353954907622E-004         3.0305242658977769E-006         7.3728936958863153E-005         6.1088852313023658E-004         5.3917068081140417E-008         1.2391826169215315E-004         3.1227961203330820E-006         5.8956682898469424E-005         6.5265243071215966E-005         3.1309570979404377E-005         6.8535470841493876E-006         3.3346114789996960E-007         1.5846366981917681E-004         6.6968248747186649E+000         2.6092308675634484E+000         2.8605344598450881E+000         0.0000000000000000E+000         3.7803388188487513E-001         1.1953081839770779E-001         7.4533769238864112E-001         2.5108884243329044E-001         2.4965353954907617E-004         7.3728936958863167E-005         6.1088852313023658E-004         1.2391826169215318E-004         5.8956682898469411E-005         6.5265243071215966E-005        -2.6482495843660265E+000        -1.2032263941371582E+001        -7.2165134409606253E+001        -5.5842312388308500E+001        -6.5848804570163253E+001        -7.5826635557112965E+001        -9.9000000000000000E+001         1.0852299442148371E+003         0.0000000000000000E+000         2.7690868051389771E+004         2.3499277117026239E+005         2.8175044064453241E-002         1.0068400560195201E+000         0.0000000000000000E+000         9.9999399133164679E-001         9.4371063581464700E-006         1.7184754675833298E+047         0.0000000000000000E+000
  232         4.0000000000000119E+009         1.2266340363003302E-001         1.2266276292920467E-001        -1.2239289904501046E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6191875723875788E+000        -6.8565464551741142E+000        -2.6190463292069039E+000        -7.1727851102038287E+001        -5.4781780114324164E+001         3.5425335650064369E+000        -6.1284258641299765E+000        -8.7198376402454936E-001         5.2619279983950076E+000        -2.8450987728892239E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489708118197233E-001         6.1533108724286441E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.0902306634160130E-015         7.4524667010892665E-001         2.2357301311068914E-003         2.5108903074211725E-001         3.1920325154444852E-017         1.6897809088209015E-011         0.0000000000000000E+000         2.4965352988594173E-004         3.0305343579300837E-006         7.3728937461715267E-005         6.1088852313028038E-004         5.3917068081270648E-008         1.2391826169214307E-004         3.1227961203328279E-006         5.8956682898464613E-005         6.5265243071210654E-005         3.1309570979401809E-005         6.8535470841488303E-006         3.3346114789994244E-007         1.5846366981916391E-004         6.7041109961979020E+000         2.5904224976632237E+000         2.7110949439592571E+000         0.0000000000000000E+000         3.6706624718003411E-001         1.2266276292920467E-001         7.4524667010742263E-001         2.5108903074211925E-001         2.4965352988594157E-004         7.3728937461715267E-005         6.1088852313028027E-004         1.2391826169214307E-004         5.8956682898464606E-005         6.5265243071210640E-005        -2.6190463309001983E+000        -1.1866991961113207E+001        -7.1727851102038287E+001        -5.5444504380268363E+001        -6.5390924609688582E+001        -7.5320406463817477E+001        -9.9000000000000000E+001         1.0610357502033764E+003         0.0000000000000000E+000         2.7061351624388310E+004         2.2866711787214721E+005         2.9081442742318896E-002         1.0070788195489593E+000         0.0000000000000000E+000         9.9999337196459970E-001         1.0414170855883090E-005         1.8204288047565663E+047         0.0000000000000000E+000
  233         4.0000000000000119E+009         1.2568471800793174E-001         1.2568404456965837E-001        -1.2979874577077012E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5910137974315739E+000        -6.8261605362649407E+000        -2.5908768363597283E+000        -7.1306199853280347E+001        -5.9698256401337623E+001         3.5446779751984097E+000        -6.1130606739103426E+000        -8.6218569693049241E-001         5.2529723467387823E+000        -2.8450987726053940E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489705897429752E-001         6.5613383363215233E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.1727054546494651E-015         7.4515532110364457E-001         2.3268656769847044E-003         2.5108924420058787E-001         3.6729665047666797E-017         1.6897809088207587E-011         0.0000000000000000E+000         2.4965351971115255E-004         3.0305449843577365E-006         7.3728937991197473E-005         6.1088852313033199E-004         5.3917068081408370E-008         1.2391826169213350E-004         3.1227961203325869E-006         5.8956682898460080E-005         6.5265243071205585E-005         3.1309570979399396E-005         6.8535470841483009E-006         3.3346114789991671E-007         1.5846366981915163E-004         6.7111371509227302E+000         2.5722807630843429E+000         2.5670186029517716E+000         0.0000000000000000E+000         3.5649166310554342E-001         1.2568404456965837E-001         7.4515532110208138E-001         2.5108924420059026E-001         2.4965351971115244E-004         7.3728937991197473E-005         6.1088852313033199E-004         1.2391826169213350E-004         5.8956682898460053E-005         6.5265243071205599E-005        -2.5908768382775369E+000        -1.1707627648894810E+001        -7.1306199853280347E+001        -5.5060912669958526E+001        -6.4949407101896028E+001        -7.4832267473994321E+001        -9.8999999999999986E+001         1.0377029152619793E+003         0.0000000000000000E+000         2.6454337110615208E+004         2.2256742976130979E+005         2.9956370956979641E-002         1.0073092344099219E+000         0.0000000000000000E+000         9.9999277391154284E-001         1.1357617724921565E-005         1.9187712016951311E+047         0.0000000000000000E+000
  234         4.0000000000000119E+009         1.2883700123543765E-001         1.2883629205052327E-001        -1.3752840565836271E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5616185160428366E+000        -6.7944589382319007E+000        -2.5614858341672648E+000        -7.0866380035664363E+001        -7.3457972186040976E+001         3.5469153772555559E+000        -6.0962037440979771E+000        -8.5196286035041635E-001         5.2436284001348712E+000        -2.8450987723869892E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489703424798874E-001         6.9871806373159826E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.2544842507813130E-015         7.4505562678170600E-001         2.4263036626768464E-003         2.5108950053611034E-001         4.2066770386203208E-017         1.6897809086533328E-011         0.0000000000000000E+000         2.4965350835769981E-004         3.0305568156786504E-006         7.3728938573434274E-005         6.1088852306991949E-004         5.3917068075406136E-008         1.2391826167797507E-004         3.1227961199757887E-006         5.8956682891723912E-005         6.5265243063748659E-005         3.1309570975822085E-005         6.8535470833652409E-006         3.3346114786181680E-007         1.5846366980104624E-004         6.7184664641192144E+000         2.5533523918593737E+000         2.4167457458208017E+000         0.0000000000000000E+000         3.4546236726719137E-001         1.2883629205052327E-001         7.4505562675868553E-001         2.5108950055716212E-001         2.4965350838259260E-004         7.3728938580785734E-005         6.1088852313083072E-004         1.2391826169240992E-004         5.8956682898591580E-005         6.5265243071351193E-005        -2.5614858363197683E+000        -1.1541397603996128E+001        -7.0866380035664363E+001        -5.4660788617434747E+001        -6.4488860094373493E+001        -7.4323089390869484E+001        -9.8999999999999972E+001         1.0133616258164151E+003         0.0000000000000000E+000         2.5821139855517049E+004         2.1620468305706215E+005         3.0869779227140372E-002         1.0075497365973363E+000         0.0000000000000000E+000         9.9999214942780235E-001         1.2342752307820991E-005         2.0213717020730028E+047         0.0000000000000000E+000
  235         4.0000000000000119E+009         1.3214086320247895E-001         1.3214011422887822E-001        -1.4563547961020362E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5308115881417765E+000        -6.7612385446262078E+000        -2.5306830109193803E+000        -7.0405857919499638E+001        -8.5233159830875252E+001         3.5492598784101124E+000        -6.0771903152814764E+000        -8.4124839870899970E-001         5.2338350318126698E+000        -2.8450987721030327E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489700534672481E-001         7.4337583088128154E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.3414881741364585E-015         7.4494729200826582E-001         2.5342489717894499E-003         2.5108988999949977E-001         4.8248777344734011E-017         1.6897809085289281E-011         0.0000000000000000E+000         2.4965349509778706E-004         3.0305706448750131E-006         7.3728939257100518E-005         6.1088852302507916E-004         5.3917068071014211E-008         1.2391826166745543E-004         3.1227961197106890E-006         5.8956682886718970E-005         6.5265243058208156E-005         3.1309570973164156E-005         6.8535470827834301E-006         3.3346114783350869E-007         1.5846366978759400E-004         6.7261419584377293E+000         2.5335126237582553E+000         2.2593847696288005E+000         0.0000000000000000E+000         3.3391207492814096E-001         1.3214011422887822E-001         7.4494729196928844E-001         2.5108989003618831E-001         2.4965349514117130E-004         7.3728939269913010E-005         6.1088852313123849E-004         1.2391826169261315E-004         5.8956682898688264E-005         6.5265243071458218E-005        -2.5306830133184279E+000        -1.1367341345794948E+001        -7.0405857919499638E+001        -5.4241813311442129E+001        -6.4006613078881131E+001        -7.3789919100991824E+001        -9.8999999999999986E+001         9.8785759382741765E+002         0.0000000000000000E+000         2.5157825639277416E+004         2.0953904052393365E+005         3.1828017353643198E-002         1.0078019577613950E+000         0.0000000000000000E+000         9.9999149399058385E-001         1.3376725332596120E-005         2.1288839847579929E+047         0.0000000000000000E+000
