# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.3101  4.07402E-02     0.50     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1487   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
  216         4.0000000000000119E+009         1.3640209790632282E-001         1.3640166898049727E-001        -5.9845072348893670E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.9938355792417326E+000        -6.2943484473948912E+000        -2.9937741731912508E+000        -7.0992809751690700E+001        -9.8999999999999986E+001         3.3804541930693839E+000        -6.8460129336472884E+000        -7.3514902357752021E-001         5.0366447246596566E+000        -1.3450987739959737E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489715984919784E-001         2.1454990673110516E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.6792802073548961E-015         6.3767746703857053E-001         8.4311089464638139E-004         3.1630410327037461E-001         2.1377817993852309E-017         5.3435564172562254E-010         0.0000000000000000E+000         7.8947389412679213E-003         9.5832720116907212E-005         2.3315136585211867E-003         1.9317991290816086E-002         1.7050073985229291E-006         3.9186395054159433E-003         9.8751484062108543E-005         1.8643740120254802E-003         2.0638682009984622E-003         9.9009556833774977E-004         2.1672818831896742E-004         1.0544967382841478E-005         5.0110612289676407E-003         6.7264998064404020E+000         2.2389699037989246E+000         8.8074706878855324E-001         0.0000000000000000E+000         2.7998615419054046E-001         1.3640166898049727E-001         6.3767746703779282E-001         3.1630410327037484E-001         7.8947389412679231E-003         2.3315136585211876E-003         1.9317991290816090E-002         3.9186395054159433E-003         1.8643740120254807E-003         2.0638682009984626E-003        -2.9937742175356905E+000        -1.0321823716433672E+001        -7.0992809751690700E+001        -5.3120233160409867E+001        -6.2908959442853778E+001        -7.2715744760109985E+001        -9.8999999999999986E+001         6.7917888726796252E+002         0.0000000000000000E+000         1.9194465429681903E+004         1.3400632746185097E+005         3.1582840066639653E-002         1.0061782320907391E+000         0.0000000000000000E+000         9.9998229433168484E-001         2.7894042730985906E-005         2.2219032406150699E+047         0.0000000000000000E+000
  217         4.0000000000000119E+009         1.4111852997338301E-001         1.4111807470618168E-001        -6.3968060589440356E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.9509255007928625E+000        -6.2452125978538540E+000        -2.9508651987840331E+000        -7.0455134669055923E+001        -9.8999999999999986E+001         3.3850884216804955E+000        -6.8093840574588089E+000        -7.2296244157530754E-001         5.0288819743166417E+000        -1.3450987739116607E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489715283287832E-001         2.3201075678218286E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.7747120466244138E-015         6.3762667542003715E-001         8.9388488377735334E-004         3.1630412089100679E-001         2.4749783111202229E-017         5.3435564172563195E-010         0.0000000000000000E+000         7.8947388396125358E-003         9.5832826178424352E-005         2.3315136638026369E-003         1.9317991290817349E-002         1.7050073985238710E-006         3.9186395054160109E-003         9.8751484062110223E-005         1.8643740120255121E-003         2.0638682009984986E-003         9.9009556833776690E-004         2.1672818831897116E-004         1.0544967382841661E-005         5.0110612289677265E-003         6.7350101016382418E+000         2.2200222960347786E+000         7.6404342859860630E-001         0.0000000000000000E+000         2.6970270211252195E-001         1.4111807470618168E-001         6.3762667541921902E-001         3.1630412089100712E-001         7.8947388396125358E-003         2.3315136638026373E-003         1.9317991290817352E-002         3.9186395054160109E-003         1.8643740120255132E-003         2.0638682009984990E-003        -2.9508652487638440E+000        -1.0114904031078176E+001        -7.0455134669055923E+001        -5.2635787389833254E+001        -6.2352819517471985E+001        -7.2101678092949783E+001        -9.8999999999999986E+001         6.6187233268656712E+002         0.0000000000000000E+000         1.8725048033377469E+004         1.3014863613853381E+005         3.2899485695167041E-002         1.0064563071422459E+000         0.0000000000000000E+000         9.9998087185718176E-001         3.0142180411178554E-005         2.3474456255264089E+047         0.0000000000000000E+000
  226         4.0000000000000119E+009         2.1479100485628685E-001         2.1479015592087128E-001        -1.3399138558084177E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5603842214583277E+000        -5.8885231152909512E+000        -2.5601777153388028E+000        -6.5776865316695776E+001        -9.6439289595746345E+001         3.4169203901616303E+000        -5.9340801236430512E+000        -5.9135573887031057E-001         4.9504844811402711E+000        -1.3450987555543967E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489557529239996E-001         4.9433479831625377E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         4.6900525049010643E-015         6.3709465208805860E-001         1.4220971733580642E-003         3.1630793002388147E-001         1.5560782813119054E-016         5.3435564141481811E-010         0.0000000000000000E+000         7.8947159789626749E-003         9.5856773228703801E-005         2.3315148583306238E-003         1.9317991279891804E-002         1.7050073977826938E-006         3.9186395009710032E-003         9.8751483950094114E-005         1.8643740099107083E-003         2.0638681986574047E-003         9.9009556721467809E-004         2.1672818807313122E-004         1.0544967370880253E-005         5.0110612232835633E-003         6.8125512869534441E+000         2.0173353111618311E+000        -2.2610634372496549E-001         0.0000000000000000E+000         1.9172746578334005E-001         2.1479015592087128E-001         6.3709465208661109E-001         3.1630793002389723E-001         7.8947159789626332E-003         2.3315148583306269E-003         1.9317991279891814E-002         3.9186395009710058E-003         1.8643740099107092E-003         2.0638681986574056E-003        -2.5601788784841366E+000        -8.2510993286049299E+000        -6.5776865316695776E+001        -4.8396891566874316E+001        -5.7483304563191318E+001        -6.6724886368146969E+001        -9.8999999999999986E+001         5.1375344539963976E+002         0.0000000000000000E+000         1.5016571612260004E+004         1.0169755106918782E+005         4.6164361343396625E-002         1.0100470112001394E+000         0.0000000000000000E+000         9.9994783496560180E-001         8.2405547992538562E-005         4.5167445784462998E+047         0.0000000000000000E+000
  227         4.0000000000000119E+009         2.2222252359612857E-001         2.2222163233565412E-001        -1.4202203812006209E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5313107176607690E+000        -5.8634488756649699E+000        -2.5310607728067995E+000        -6.5452878722095690E+001        -8.5526717243650779E+001         3.4191730386438071E+000        -5.8250684538345840E+000        -5.8132428393588376E-001         4.9448947305323898E+000        -1.3450987499301033E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489508517757224E-001         5.2453276367927399E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         4.9921837737956696E-015         6.3704780385281301E-001         1.4675829060215517E-003         3.1630929194142432E-001         1.7899144293115998E-016         5.3435564126275668E-010         0.0000000000000000E+000         7.8947088757346257E-003         9.5864224434836928E-005         2.3315152299874819E-003         1.9317991274502209E-002         1.7050073973491661E-006         3.9186394987947683E-003         9.8751483895251943E-005         1.8643740088753180E-003         2.0638681975112256E-003         9.9009556666482365E-004         2.1672818795277001E-004         1.0544967365024051E-005         5.0110612205006445E-003         6.8180508885977673E+000         2.0022691769791434E+000        -2.9110042500503652E-001         0.0000000000000000E+000         1.8722613850481562E-001         2.2222163233565412E-001         6.3704780385129367E-001         3.1630929194144569E-001         7.8947088757345719E-003         2.3315152299874858E-003         1.9317991274502212E-002         3.9186394987947692E-003         1.8643740088753189E-003         2.0638681975112256E-003        -2.5310622255206630E+000        -8.1244820592694484E+000        -6.5452878722095690E+001        -4.8104546988329894E+001        -5.7147446597420391E+001        -6.6354162740660186E+001        -9.8999999999999986E+001         5.0441523884066100E+002         0.0000000000000000E+000         1.4788676932895658E+004         1.0001951197846881E+005         4.7260025463571068E-002         1.0104394569487367E+000         0.0000000000000000E+000         9.9994363578537093E-001         8.9058679020346447E-005         4.7523452208398406E+047         0.0000000000000000E+000
  228         4.0000000000000119E+009         2.2926841174111592E-001         2.2926747887053336E-001        -1.4967207366394415E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5038469433038353E+000        -5.8397468849874263E+000        -2.5035525446480640E+000        -6.5148736478581583E+001        -6.8388476044193922E+001         3.4213014019147616E+000        -5.7209553731309075E+000        -5.7184912329932602E-001         4.9396007261844099E+000        -1.3450987440285045E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489457208411729E-001         5.5329021347319400E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.2701966001944993E-015         6.3700281955678761E-001         1.5110315836821570E-003         3.1631082694590479E-001         2.0290570811409810E-016         5.3435564111612454E-010         0.0000000000000000E+000         7.8947014396632664E-003         9.5872025224226712E-005         2.3315156191523537E-003         1.9317991269314175E-002         1.7050073969767172E-006         3.9186394966963618E-003         9.8751483842371120E-005         1.8643740078769569E-003         2.0638681964060372E-003         9.9009556613463383E-004         2.1672818783671335E-004         1.0544967359377289E-005         5.0110612178172528E-003         6.8232180766937116E+000         1.9880255597330341E+000        -3.5228947535814376E-001         0.0000000000000000E+000         1.8300494214982524E-001         2.2926747887053336E-001         6.3700281955520222E-001         3.1631082694593254E-001         7.8947014396632022E-003         2.3315156191523576E-003         1.9317991269314182E-002         3.9186394966963635E-003         1.8643740078769574E-003         2.0638681964060372E-003        -2.5035542725118929E+000        -8.0057172629606015E+000        -6.5148736478581583E+001        -4.7830076413353147E+001        -5.6832116951994266E+001        -6.6006097388129049E+001        -9.9000000000000000E+001         4.9562009655427272E+002         0.0000000000000000E+000         1.4573684949253420E+004         9.8437881209374740E+004         4.8267241148016483E-002         1.0108132221053023E+000         0.0000000000000000E+000         9.9993963704682620E-001         9.5394440232173214E-005         4.9758207730038687E+047         0.0000000000000000E+000
  229         4.0000000000000119E+009         2.3611654616153685E-001         2.3611557130778471E-001        -1.5712522389012864E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4771181621278147E+000        -5.8166700849747803E+000        -2.4767778672082241E+000        -6.4854185696471191E+001        -4.5349251356742492E+001         3.4233709934159742E+000        -5.6195468307605170E+000        -5.6262391571374193E-001         4.9344233423441306E+000        -1.3450987377980654E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489403155370730E-001         5.8128642149829286E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.5332533218525143E-015         6.3695828519939190E-001         1.5538257228968038E-003         3.1631256651599537E-001         2.2773986803546592E-016         5.3435564097358023E-010         0.0000000000000000E+000         7.8946936061346715E-003         9.5880243249270183E-005         2.3315160291971209E-003         1.9317991264280080E-002         1.7050073966600592E-006         3.9186394946566470E-003         9.8751483790969353E-005         1.8643740069065199E-003         2.0638681953317616E-003         9.9009556561927350E-004         2.1672818772390279E-004         1.0544967353888462E-005         5.0110612152089139E-003         6.8282252319645451E+000         1.9741345127606631E+000        -4.1182228862853204E-001         0.0000000000000000E+000         1.7890216836160761E-001         2.3611557130778471E-001         6.3695828519774467E-001         3.1631256651602990E-001         7.8946936061345934E-003         2.3315160291971270E-003         1.9317991264280091E-002         3.9186394946566488E-003         1.8643740069065201E-003         2.0638681953317616E-003        -2.4767798597079889E+000        -7.8906949017959516E+000        -6.4854185696471191E+001        -4.7564179875882772E+001        -5.6526630083318345E+001        -6.5668891922380453E+001        -9.8999999999999972E+001         4.8704680920162656E+002         0.0000000000000000E+000         1.4363735325515881E+004         9.6893828369381445E+004         4.9206103316651324E-002         1.0111773464806366E+000         0.0000000000000000E+000         9.9993574803033125E-001         1.0155636842884066E-004         5.1928291575074698E+047         0.0000000000000000E+000
  230         4.0000000000000119E+009         2.4331881951825640E-001         2.4331779870402151E-001        -1.6499254214536855E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4489490051026488E+000        -5.7923351568432899E+000        -2.4485581364234128E+000        -6.4546183567735582E+001        -4.1666213333521235E+001         3.4255489141239952E+000        -5.5144759077993628E+000        -5.5289517861719972E-001         4.9289252906604455E+000        -1.3450987306606035E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489341357708265E-001         6.1080348475524118E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.8237473760293669E-015         6.3691127954969029E-001         1.5984301172106703E-003         3.1631496702894424E-001         2.5557997372922048E-016         5.3435564082364309E-010         0.0000000000000000E+000         7.8946846504249057E-003         9.5889638834878541E-005         2.3315164980811705E-003         1.9317991258995918E-002         1.7050073963805695E-006         3.9186394925112972E-003         9.8751483736905530E-005         1.8643740058858240E-003         2.0638681942018486E-003         9.9009556507722294E-004         2.1672818760524976E-004         1.0544967348115376E-005         5.0110612124654921E-003         6.8334644317368696E+000         1.9594424734932452E+000        -4.7453898682786544E-001         0.0000000000000000E+000         1.7458715120548457E-001         2.4331779870402151E-001         6.3691127954797977E-001         3.1631496702898743E-001         7.8946846504248137E-003         2.3315164980811766E-003         1.9317991258995925E-002         3.9186394925112989E-003         1.8643740058858242E-003         2.0638681942018486E-003        -2.4485604027988783E+000        -7.7703882086678426E+000        -6.4546183567735582E+001        -4.7285980829826372E+001        -5.6207013156199821E+001        -6.5316096158369575E+001        -9.8999999999999986E+001         4.7798858762371509E+002         0.0000000000000000E+000         1.4141283969989743E+004         9.5258527160772603E+004         5.0233596519441731E-002         1.0115615951504775E+000         0.0000000000000000E+000         9.9993165476924162E-001         1.0804184549091974E-004         5.4207443942202127E+047         0.0000000000000000E+000
  231         4.0000000000000119E+009         2.4964023392504336E-001         2.4963917018933274E-001        -1.7204121847747664E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4242750429923721E+000        -5.7709206023770383E+000        -2.4238138930690223E+000        -6.4281785828139277E+001        -5.5365766885170373E+001         3.4274610536376815E+000        -5.4175806378859210E+000        -5.4438247658943373E-001         4.9240409673516368E+000        -1.3451019997553564E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489284976366192E-001         6.3732018301149131E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         6.2029490238411212E-015         6.3687017728297746E-001         1.6385839003706848E-003         3.1631625535874486E-001         2.8054693300360659E-016         5.3435298810181313E-010         0.0000000000000000E+000         7.8946372895240431E-003         9.5897735176635586E-005         2.3315053520703796E-003         1.9317895358088845E-002         1.7049861640789625E-006         3.9185906926801654E-003         9.8750253959137019E-005         1.8643507883541186E-003         2.0638424923174184E-003         9.9008323516106846E-004         2.1672548863307391E-004         1.0544836028909593E-005         5.0109988084241306E-003         6.8379700952335627E+000         1.9465182050900387E+000        -5.2918602642996326E-001         0.0000000000000000E+000         1.7085917650295485E-001         2.4789721459363276E-001         6.3683932319347281E-001         3.1632978008939361E-001         7.8949771334568403E-003         2.3316069340265869E-003         1.9318735496627978E-002         3.9190170020521114E-003         1.8645536138789062E-003         2.0640670208445597E-003        -2.4238164063278456E+000        -7.6672120953968816E+000        -6.4281785828139277E+001        -4.7046988794189545E+001        -5.5932433330074332E+001        -6.5013015304670475E+001        -9.8999999999999986E+001         4.7006288042435443E+002         0.0000000000000000E+000         1.3945117506641467E+004         9.3820018223417006E+004         5.1190024058784457E-002         1.0119443080013548E+000         0.0000000000000000E+000         9.9992801287253175E-001         1.1381256845705081E-004         5.6207775226123798E+047         0.0000000000000000E+000
  232         4.0000000000000119E+009         2.5178428777178208E-001         2.5178320373744884E-001        -1.7512873582311157E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4165423678331717E+000        -5.7637152427467830E+000        -2.4162001033854876E+000        -6.4218258693974775E+001        -7.6348141030697548E+001         3.4281096986811606E+000        -5.3496316550015397E+000        -5.4181342909679309E-001         4.9223974672467179E+000        -1.3451149398607150E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489273216575518E-001         6.4963135903564519E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         6.0561487271163472E-015         6.3685176961502188E-001         1.6618387115789185E-003         3.1631275343481424E-001         2.8341936690447253E-016         5.3434250769512673E-010         0.0000000000000000E+000         7.8944807449026332E-003         9.5897644365907617E-005         2.3314597133002202E-003         1.9317516471117423E-002         1.7049022816377437E-006         3.9183979042885942E-003         9.8745395604661908E-005         1.8642590652786567E-003         2.0637409545693464E-003         9.9003452465022505E-004         2.1671482608583622E-004         1.0544317239850765E-005         5.0107522753013306E-003         6.8390705965056684E+000         1.9426741876954894E+000        -5.4398506131913382E-001         0.0000000000000000E+000         1.6997070981991785E-001         2.3973428047752551E-001         6.3669847446930383E-001         3.1638003180792068E-001         7.8961706763123057E-003         2.3319648249184922E-003         1.9321694048512004E-002         3.9205179688883134E-003         1.8652677299792668E-003         2.0648575497308505E-003        -2.4162027304592044E+000        -7.6454450296734224E+000        -6.4218258693974775E+001        -4.6989397502711036E+001        -5.5866293529876089E+001        -6.4940051027329432E+001        -9.8999999999999986E+001         4.6777326763638155E+002         0.0000000000000000E+000         1.3883766833760441E+004         9.3385770346515317E+004         5.1551556762591620E-002         1.0122530093362812E+000         0.0000000000000000E+000         9.9992662151364597E-001         1.1596739354073087E-004         5.6909803131692687E+047         0.0000000000000000E+000
  233         4.0000000000000119E+009         2.5386245569023541E-001         2.5386135208839478E-001        -1.7816144579068264E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4092388940501679E+000        -5.7568945709568968E+000        -2.4095446098280817E+000        -6.4158041995884929E+001        -9.3937476737781168E+001         3.4287443030283944E+000        -5.2695475125543894E+000        -5.3943090089975865E-001         4.9210190960381626E+000        -1.3451147017600320E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489251307816011E-001         6.6200643749417766E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         4.0468744569666273E-015         6.3682138240913433E-001         1.6897425201476434E-003         3.1631521207980073E-001         2.8657810248019802E-016         5.3434269841520711E-010         0.0000000000000000E+000         7.8944803884334266E-003         9.5901013312440142E-005         2.3314607126106940E-003         1.9317523366069757E-002         1.7049038085630667E-006         3.9184014129041381E-003         9.8745484023357084E-005         1.8642607345752641E-003         2.0637428024862154E-003         9.9003541114787139E-004         2.1671502013682989E-004         1.0544326681453239E-005         5.0107567620338526E-003         6.8400874915889105E+000         1.9396161267929062E+000        -5.5628878910028823E-001         0.0000000000000000E+000         1.6919410102434077E-001         2.3191983132361832E-001         6.3667030993273510E-001         3.1638151443948065E-001         7.8961458162774157E-003         2.3319585001915881E-003         1.9321640369326352E-002         3.9204907378248910E-003         1.8652547742361077E-003         2.0648432076802998E-003        -2.4095472948859529E+000        -7.6295179009572394E+000        -6.4158041995884929E+001        -4.6935100526025344E+001        -5.5804095656788625E+001        -6.4871537953638878E+001        -9.8999999999999986E+001         4.6570967557178000E+002         0.0000000000000000E+000         1.3830536602241677E+004         9.3007991613936145E+004         5.1906211024772476E-002         1.0123973464655416E+000         0.0000000000000000E+000         9.9992547945254473E-001         1.1762734284962127E-004         5.7609372435728253E+047         0.0000000000000000E+000
